,Date,Open,High,Low,Close,Volume,Name
,7/10/2008,23.76,24.1,23.04,23.5,18504346,AABA
,7/11/2008,23,23.89,22.64,23.57,23141844,AABA
,7/14/2008,23.12,23.24,22.22,22.57,22791375,AABA
,7/15/2008,21.79,22.08,21.18,21.54,25742842,AABA
,7/16/2008,21.7,22.6,21.59,22.48,20738639,AABA
,7/17/2008,23.49,23.49,22.41,22.44,31947814,AABA
,7/18/2008,22.55,22.55,21.86,22.45,23376756,AABA
,7/21/2008,21.66,22.19,21.65,21.67,24645567,AABA
,7/22/2008,21.39,21.7,20.85,21.4,29786466,AABA
,7/23/2008,21.91,22.48,20,20.39,48279691,AABA
,7/24/2008,20.61,21.06,20.05,20.53,24422422,AABA
,7/25/2008,20.55,21.19,20.28,21.13,20404258,AABA
,7/28/2008,20.99,21.17,20.06,20.12,13743075,AABA
,7/29/2008,20.01,20.34,19.68,20.15,17023779,AABA
,7/30/2008,20.18,20.18,19.96,20.03,25024542,AABA
,7/31/2008,19.89,20.15,19.85,19.89,16629617,AABA
,8/1/2008,20.09,20.12,19.53,19.8,19779344,AABA
,8/4/2008,19.77,19.77,19.21,19.38,14065154,AABA
,8/5/2008,19.7,19.91,19.53,19.82,14433100,AABA
,8/6/2008,19.77,20.18,19.53,20,14699446,AABA
,8/7/2008,19.8,20.25,19.64,20.19,14019474,AABA
,8/8/2008,20.19,20.19,19.87,19.9,13640909,AABA
,8/11/2008,19.89,20.28,19.65,20.26,12904605,AABA
,8/12/2008,20.21,20.6,20.04,20.43,13885371,AABA
,8/13/2008,20.33,20.48,20.06,20.36,11955920,AABA
,8/14/2008,20.2,20.57,20.14,20.28,11108600,AABA
,8/15/2008,20.27,20.82,20.27,20.44,14947563,AABA
,8/18/2008,20.47,20.52,19.66,19.73,14867302,AABA
,8/19/2008,19.78,19.91,19.41,19.42,12850979,AABA
,8/20/2008,19.57,19.65,19.1,19.17,16426429,AABA
,8/21/2008,19.06,19.18,18.86,19.11,16995734,AABA
,8/22/2008,19.11,19.68,19.1,19.53,11087897,AABA
,8/25/2008,19.34,19.4,19.05,19.09,13780395,AABA
,8/26/2008,19.12,19.2,19,19.09,8773400,AABA
,8/27/2008,19.08,19.45,18.93,19.37,9300533,AABA
,8/28/2008,19.48,19.76,19.38,19.65,11730474,AABA
,8/29/2008,19.54,19.6,19.28,19.38,11204920,AABA
,9/2/2008,19.63,19.77,18.74,18.75,16949967,AABA
,9/3/2008,18.85,19,18.7,18.76,11557585,AABA
